arm,config,seed,sat,sent,acc
ddqnseed,MSW_path_sf10_p70_S50_MMedium_Chain,0,288,496,58.0645
ddqnseed,MSW_path_sf10_p70_S50_MMedium_Chain,1,291,496,58.6694
ddqnseed,MSW_path_sf10_p70_S50_MMedium_Chain,2,283,496,57.0565
ddqnseed,MSW_path_sf10_p70_S75_M0_Chain,0,338,496,68.1452
ddqnseed,MSW_path_sf10_p70_S75_M0_Chain,1,337,496,67.9435
ddqnseed,MSW_path_sf10_p70_S75_M0_Chain,2,339,496,68.3468
ddqnseed,MSW_path_sf10_p70_S75_MHigh_Chain,0,337,496,67.9435
ddqnseed,MSW_path_sf10_p70_S75_MHigh_Chain,1,325,496,65.5242
ddqnseed,MSW_path_sf10_p70_S75_MHigh_Chain,2,319,496,64.3145
ddqnseed,MSW_path_sf10_p70_S75_MLow_Chain,0,352,495,71.1111
ddqnseed,MSW_path_sf10_p70_S75_MLow_Chain,1,345,495,69.697
ddqnseed,MSW_path_sf10_p70_S75_MLow_Chain,2,331,495,66.8687
ddqnseed,MSW_path_sf10_p70_S75_MMedium_Chain,0,351,496,70.7661
ddqnseed,MSW_path_sf10_p70_S75_MMedium_Chain,1,341,496,68.75
ddqnseed,MSW_path_sf10_p70_S75_MMedium_Chain,2,345,496,69.5565
