arm,config,seed,requests,planned_in_log,log_coverage,S,S_pct,L,L_pct,X,X_pct,R,R_pct,D,D_pct,U,U_pct
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,1,496,495,0.998,375,75.605,0,0.0,0,0.0,0,0.0,120,24.194,1,0.202
cwfree120,MSW_path_sf10_p70_S100_MMedium_Chain,2,496,495,0.998,383,77.218,0,0.0,0,0.0,0,0.0,112,22.581,1,0.202
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,0,496,316,0.6371,121,24.395,5,1.008,0,0.0,0,0.0,190,38.306,180,36.29
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,1,496,321,0.6472,126,25.403,2,0.403,0,0.0,0,0.0,193,38.911,175,35.282
cwfree120,MSW_path_sf10_p70_S25_M0_Chain,2,496,318,0.6411,127,25.605,0,0.0,0,0.0,0,0.0,191,38.508,178,35.887
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,0,496,463,0.9335,167,33.669,16,3.226,5,1.008,63,12.702,214,43.145,31,6.25
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,1,496,465,0.9375,158,31.855,11,2.218,2,0.403,78,15.726,216,43.548,31,6.25
cwfree120,MSW_path_sf10_p70_S25_MHigh_Chain,2,496,465,0.9375,145,29.234,12,2.419,8,1.613,69,13.911,231,46.573,31,6.25
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,0,495,426,0.8606,130,26.263,21,4.242,4,0.808,51,10.303,220,44.444,69,13.939
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,1,495,425,0.8586,126,25.455,19,3.838,5,1.01,49,9.899,226,45.657,70,14.141
cwfree120,MSW_path_sf10_p70_S25_MLow_Chain,2,495,426,0.8606,118,23.838,19,3.838,16,3.232,52,10.505,221,44.646,69,13.939
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,0,496,437,0.881,127,25.605,4,0.806,5,1.008,53,10.685,248,50.0,59,11.895
